,posted_on,bhk,size,floor,area_type,area_locality,city,furnishing_status,tenant_preferred,bathroom,point_of_contact,rent,floor_number,3_or_less_bhk,size_type,normalize_rent,Standardization_size
185,2022-05-11,2,1000.0,Ground out of 2,super area,"chinar park, rajarhat",kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,8000,0.0,1,medium,0.11971830985915494,0.37615404850709455
186,2022-05-27,2,600.0,Ground out of 3,super area,bagha jatin pally,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,18000,0.0,1,medium,0.295774647887324,-0.5577894089879787
187,2022-04-24,2,750.0,2 out of 4,carpet area,rishi aurobindo sarani neat nioh hospital,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,8000,2.0,1,medium,0.11971830985915494,-0.20756061242732624
188,2022-05-10,2,685.0,2 out of 3,super area,dum dum metro,kolkata,Unfurnished,bachelors/family,1.0,Contact Agent,7000,2.0,1,medium,0.10211267605633803,-0.3593264242702756
189,2022-05-24,1,44.0,,carpet area,baranagar,kolkata,Furnished,bachelors/family,1.0,Contact Owner,6500,-1.0,1,small,0.09330985915492958,-1.8559708149061305
190,2022-05-25,4,1200.0,Ground out of 2,super area,tollygunge,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,13000,0.0,0,large,0.20774647887323944,0.8431257772546311
191,2022-05-05,2,500.0,Ground out of 2,carpet area,airport near gate no. 21/2,kolkata,Unfurnished,bachelors,1.0,Contact Owner,9000,0.0,1,small,0.13732394366197184,-0.791275273361747
194,2022-06-26,2,392.0,Ground out of 2,super area,jadavpur,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,5000,0.0,1,small,0.06690140845070423,-1.0434400068854168
195,2022-06-08,2,700.0,1 out of 2,carpet area,barasat-barrackpore road,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,6000,1.0,1,medium,0.08450704225352114,-0.32430354461421035
196,2022-05-19,1,750.0,2 out of 4,super area,keshtopur,kolkata,Unfurnished,bachelors/family,4.0,Contact Owner,5200,2.0,1,medium,0.07042253521126761,-0.20756061242732624
199,2022-07-03,1,710.0,1 out of 1,super area,salt lake city sector 1,kolkata,Furnished,bachelors,3.0,Contact Agent,24000,1.0,1,medium,0.4014084507042254,-0.30095495817683354
200,2022-05-26,1,400.0,Ground out of 3,carpet area,jadavpur central park east,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,5500,0.0,1,small,0.07570422535211269,-1.0247611377355152
201,2022-06-24,1,700.0,1 out of 2,carpet area,garia,mumbai,Unfurnished,family,1.0,Contact Owner,10000,1.0,1,medium,0.15492957746478875,-0.32430354461421035
202,2022-07-03,2,1000.0,Ground out of 2,carpet area,tn chatterjee street,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,15000,0.0,1,medium,0.24295774647887328,0.37615404850709455
203,2022-06-12,1,250.0,1 out of 2,super area,kaikhali,hyderabad,Furnished,bachelors/family,1.0,Contact Owner,4700,1.0,1,small,0.061619718309859156,-1.3749899342961678
204,2022-05-14,1,500.0,Ground out of 3,carpet area,bata nagar,chennai,Semi-Furnished,bachelors/family,1.0,Contact Owner,5000,0.0,1,small,0.06690140845070423,-0.791275273361747
205,2022-05-20,2,450.0,,super area,unknown place,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,5000,-1.0,1,small,0.06690140845070423,-0.9080182055486311
206,2022-06-27,3,1400.0,1 out of 3,super area,survey park,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,15000,1.0,0,large,0.24295774647887328,1.3100975060021678
207,2022-05-14,1,500.0,1 out of 1,carpet area,bata nagar,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,5000,1.0,1,small,0.06690140845070423,-0.791275273361747
208,2022-06-17,2,700.0,Ground out of 1,carpet area,hatiara extention,kolkata,Unfurnished,bachelors/family,1.0,Contact Agent,6000,0.0,1,medium,0.08450704225352114,-0.32430354461421035
209,2022-06-04,2,1200.0,1 out of 3,carpet area,salt lake city sector 1,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,18000,1.0,1,large,0.295774647887324,0.8431257772546311
210,2022-06-21,2,450.0,1 out of 2,carpet area,andul,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,8000,1.0,1,small,0.11971830985915494,-0.9080182055486311
211,2022-06-23,2,500.0,2 out of 2,carpet area,salt lake city sector 2,kolkata,Furnished,bachelors,1.0,Contact Agent,13000,2.0,1,small,0.20774647887323944,-0.791275273361747
212,2022-07-02,2,400.0,,carpet area,locality,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,7500,-1.0,1,small,0.1109154929577465,-1.0247611377355152
214,2022-06-04,2,750.0,Ground out of 1,carpet area,parnasree pally,kolkata,Unfurnished,bachelors,1.0,Contact Owner,11000,0.0,1,medium,0.17253521126760565,-0.20756061242732624
215,2022-06-24,1,450.0,,super area,baghajatin,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,6000,-1.0,1,small,0.08450704225352114,-0.9080182055486311
216,2022-06-19,3,1000.0,1 out of 2,carpet area,salt lake city sector 3,kolkata,Unfurnished,bachelors,2.0,Contact Agent,20000,1.0,0,medium,0.33098591549295775,0.37615404850709455
217,2022-07-03,2,500.0,1 out of 1,carpet area,sarsuna banerjee para,kolkata,Unfurnished,bachelors,2.0,Contact Owner,7000,1.0,1,small,0.10211267605633803,-0.791275273361747
218,2022-06-19,4,1600.0,Ground out of 1,carpet area,salt lake city sector 3,kolkata,Unfurnished,bachelors,2.0,Contact Agent,30000,0.0,0,large,0.5070422535211269,1.7770692347497044
219,2022-07-06,2,550.0,Ground out of 1,carpet area,near seven tanks road dumdum station,kolkata,Unfurnished,bachelors,1.0,Contact Owner,7500,0.0,1,medium,0.1109154929577465,-0.6745323411748628
220,2022-06-21,1,550.0,1 out of 2,super area,jyangra,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,6500,1.0,1,medium,0.09330985915492958,-0.6745323411748628
221,2022-06-26,1,200.0,2 out of 3,carpet area,barasat,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,3000,2.0,1,small,0.03169014084507043,-1.4917328664830518
222,2022-06-30,2,650.0,1 out of 2,super area,unknown place,kolkata,Unfurnished,bachelors,1.0,Contact Owner,5200,1.0,1,medium,0.07042253521126761,-0.44104647680109454
223,2022-06-22,2,1000.0,1 out of 1,super area,"tagore park, kasba",chennai,Furnished,bachelors/family,2.0,Contact Owner,25000,1.0,1,medium,0.41901408450704225,0.37615404850709455
224,2022-05-27,2,680.0,Ground out of 2,carpet area,barrackpore,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,12500,0.0,1,medium,0.198943661971831,-0.371000717488964
225,2022-06-17,2,720.0,Ground out of 1,super area,"silpara, purba barisha",kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,8500,0.0,1,medium,0.12852112676056338,-0.27760637173945674
226,2022-06-20,2,500.0,4 out of 5,carpet area,konnagar,kolkata,Unfurnished,bachelors,1.0,Contact Owner,3500,4.0,1,small,0.040492957746478875,-0.791275273361747
228,2022-05-17,1,160.0,Ground out of 1,super area,"kudghat, ashok nagar",kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,3000,0.0,1,small,0.03169014084507043,-1.5851272122325593
230,2022-06-17,1,700.0,Ground out of 4,super area,salt lake city sector 3,kolkata,Furnished,bachelors/family,1.0,Contact Owner,18000,0.0,1,medium,0.295774647887324,-0.32430354461421035
232,2022-06-16,2,1250.0,Ground out of 1,super area,kasba,kolkata,Unfurnished,bachelors/family,2.0,Contact Agent,16000,0.0,1,large,0.2605633802816901,0.9598687094415153
233,2022-04-29,4,1600.0,Ground out of 3,super area,salt lake city,hyderabad,Unfurnished,bachelors/family,3.0,Contact Owner,35000,0.0,0,large,0.5950704225352114,1.7770692347497044
234,2022-06-04,2,700.0,Ground out of 2,super area,unknown place,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,21000,0.0,1,medium,0.3485915492957746,-0.32430354461421035
235,2022-06-16,1,450.0,,super area,"silpara, purba barisha",kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,4500,-1.0,1,small,0.05809859154929578,-0.9080182055486311
236,2022-06-04,2,839.0,,super area,howrah,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,15000,-1.0,1,medium,0.24295774647887328,0.00024180686532756948
237,2022-07-01,1,230.0,Ground out of 3,super area,birati,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,4500,0.0,1,small,0.05809859154929578,-1.4216871071709214
238,2022-05-06,1,1800.0,Ground out of 2,super area,baranagar,hyderabad,Unfurnished,bachelors/family,1.0,Contact Owner,5500,0.0,1,large,0.07570422535211269,2.244040963497241
239,2022-05-10,3,800.0,1 out of 2,super area,baguihati,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,8500,1.0,0,medium,0.12852112676056338,-0.09081768024044207
240,2022-05-27,1,500.0,Ground out of 1,carpet area,brahmapur near bansdroni,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,5000,0.0,1,small,0.06690140845070423,-0.791275273361747
241,2022-05-22,2,620.0,Ground out of 1,carpet area,kasba,kolkata,Unfurnished,bachelors,1.0,Contact Owner,8500,0.0,1,medium,0.12852112676056338,-0.5110922361132251
242,2022-04-24,2,650.0,2 out of 3,carpet area,unknown place,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,9000,2.0,1,medium,0.13732394366197184,-0.44104647680109454
243,2022-05-23,1,550.0,1 out of 2,carpet area,"naktala, garia",kolkata,Semi-Furnished,bachelors/family,3.0,Contact Owner,7500,1.0,1,medium,0.1109154929577465,-0.6745323411748628
244,2022-04-23,2,450.0,1 out of 3,carpet area,safuipara,hyderabad,Furnished,bachelors,2.0,Contact Owner,7000,1.0,1,small,0.10211267605633803,-0.9080182055486311
245,2022-04-24,3,1350.0,1 out of 2,carpet area,"annapurna apartment, rajarhat chowmatha",kolkata,Unfurnished,family,2.0,Contact Owner,15000,1.0,0,large,0.24295774647887328,1.1933545738152835
247,2022-05-31,3,1200.0,2 out of 4,super area,belghoria,kolkata,Furnished,bachelors/family,2.0,Contact Owner,10000,2.0,0,large,0.15492957746478875,0.8431257772546311
248,2022-06-25,2,700.0,1 out of 2,super area,"haridevpur, paschim putiary",kolkata,Unfurnished,bachelors/family,1.0,Contact Agent,7000,1.0,1,medium,0.10211267605633803,-0.32430354461421035
251,2022-06-19,1,900.0,1 out of 3,super area,tollygunge,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,12000,1.0,1,medium,0.19014084507042256,0.14266818413332624
253,2022-07-01,3,1250.0,1 out of 2,super area,jaffarpore rifle range road,kolkata,Unfurnished,bachelors,2.0,Contact Owner,10000,1.0,0,large,0.15492957746478875,0.9598687094415153
254,2022-05-31,2,1000.0,2 out of 2,super area,dariya,kolkata,Semi-Furnished,bachelors/family,3.0,Contact Owner,12000,2.0,1,medium,0.19014084507042256,0.37615404850709455
255,2022-06-03,2,600.0,Ground out of 2,super area,howrah,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,8000,0.0,1,medium,0.11971830985915494,-0.5577894089879787
256,2022-06-30,2,650.0,1 out of 1,carpet area,sodepur,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,5300,1.0,1,medium,0.0721830985915493,-0.44104647680109454
257,2022-06-24,2,450.0,2 out of 3,carpet area,liluah,kolkata,Semi-Furnished,bachelors,1.0,Contact Owner,5000,2.0,1,small,0.06690140845070423,-0.9080182055486311
258,2022-06-11,3,800.0,Ground out of 2,super area,near dumdum metro,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,8500,0.0,0,medium,0.12852112676056338,-0.09081768024044207
259,2022-06-19,3,1000.0,Ground out of 3,carpet area,"sukanta nagar, new barrakpur",kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,22000,0.0,0,medium,0.3661971830985916,0.37615404850709455
261,2022-06-25,3,1400.0,,carpet area,salt lake city,kolkata,Furnished,bachelors,3.0,Contact Agent,25000,-1.0,0,large,0.41901408450704225,1.3100975060021678
262,2022-06-11,2,600.0,1 out of 4,carpet area,unknown place,kolkata,Semi-Furnished,bachelors,1.0,Contact Owner,7000,1.0,1,medium,0.10211267605633803,-0.5577894089879787
263,2022-06-13,2,723.0,Ground out of 3,carpet area,narendrapur,kolkata,Furnished,bachelors/family,1.0,Contact Owner,15000,0.0,1,medium,0.24295774647887328,-0.2706017958082437
264,2022-06-19,1,320.0,,carpet area,unknown place,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,6000,-1.0,1,small,0.08450704225352114,-1.21154982923453
265,2022-06-17,2,900.0,Ground out of 3,super area,unknown place,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,8000,0.0,1,medium,0.11971830985915494,0.14266818413332624
266,2022-05-27,3,1400.0,Ground out of 2,carpet area,salt lake city sector 2,kolkata,Unfurnished,bachelors/family,2.0,Contact Agent,40000,0.0,0,large,0.6830985915492959,1.3100975060021678
267,2022-06-24,1,2160.0,1 out of 2,super area,kasba,kolkata,Semi-Furnished,bachelors,1.0,Contact Owner,6000,1.0,1,large,0.08450704225352114,3.0845900752428066
268,2022-06-22,2,650.0,Ground out of 2,carpet area,kasba bosepukur,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,15000,0.0,1,medium,0.24295774647887328,-0.44104647680109454
269,2022-06-16,2,800.0,,super area,kanchrapara,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,6500,-1.0,1,medium,0.09330985915492958,-0.09081768024044207
271,2022-05-05,1,500.0,Ground out of 2,carpet area,"garia station, garia",kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,5500,0.0,1,small,0.07570422535211269,-0.791275273361747
272,2022-06-28,3,1700.0,1 out of 2,super area,panchanantala road,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,9000,1.0,0,large,0.13732394366197184,2.0105550991234726
273,2022-04-27,1,130.0,,carpet area,bow bazar,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,6000,-1.0,1,small,0.08450704225352114,-1.6551729715446897
274,2022-05-14,3,505.0,Ground out of 3,super area,kasba,kolkata,Furnished,bachelors/family,1.0,Contact Owner,15000,0.0,0,medium,0.24295774647887328,-0.7796009801430586
276,2022-05-22,1,1250.0,,super area,new alipore,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,30000,-1.0,1,large,0.5070422535211269,0.9598687094415153
277,2022-05-14,1,700.0,Ground out of 2,super area,my own house,chennai,Unfurnished,bachelors/family,1.0,Contact Agent,5000,0.0,1,medium,0.06690140845070423,-0.32430354461421035
278,2022-06-12,2,900.0,Ground out of 1,carpet area,"park circus, ballygunge",kolkata,Unfurnished,bachelors,1.0,Contact Owner,15000,0.0,1,medium,0.24295774647887328,0.14266818413332624
279,2022-06-11,1,650.0,1 out of 1,super area,joka,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,6500,1.0,1,medium,0.09330985915492958,-0.44104647680109454
280,2022-06-29,2,750.0,Ground out of 1,super area,azadgarh,kolkata,Furnished,bachelors/family,1.0,Contact Owner,4500,0.0,1,medium,0.05809859154929578,-0.20756061242732624
281,2022-05-07,2,450.0,Ground out of 3,carpet area,unknown place,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,7000,0.0,1,small,0.10211267605633803,-0.9080182055486311
282,2022-06-25,1,350.0,1 out of 2,carpet area,dhakuria,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,6500,1.0,1,small,0.09330985915492958,-1.1415040699223995
283,2022-06-12,1,480.0,1 out of 2,carpet area,rabindra sarovar metro,kolkata,Furnished,bachelors/family,2.0,Contact Owner,17500,1.0,1,small,0.2869718309859155,-0.8379724462365007
284,2022-06-18,3,900.0,Ground out of 3,super area,garia,kolkata,Unfurnished,bachelors/family,1.0,Contact Agent,10000,0.0,0,medium,0.15492957746478875,0.14266818413332624
285,2022-05-24,1,200.0,,carpet area,santoshpur,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,1500,-1.0,1,small,0.005281690140845074,-1.4917328664830518
287,2022-04-28,2,800.0,1 out of 2,super area,kasba,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,12000,1.0,1,medium,0.19014084507042256,-0.09081768024044207
288,2022-06-05,3,1000.0,Ground out of 2,carpet area,south station pally dankuni,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,7500,0.0,0,medium,0.1109154929577465,0.37615404850709455
289,2022-06-11,1,800.0,1 out of 2,carpet area,kumargali,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,7000,1.0,1,medium,0.10211267605633803,-0.09081768024044207
291,2022-06-18,3,1190.0,1 out of 2,super area,sarsuna,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,10000,1.0,0,large,0.15492957746478875,0.8197771908172543
292,2022-05-17,2,900.0,Ground out of 2,carpet area,salt lake city,kolkata,Unfurnished,bachelors,2.0,Contact Agent,14000,0.0,1,medium,0.22535211267605634,0.14266818413332624
294,2022-07-06,2,600.0,,super area,thakurpukur,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,6500,-1.0,1,medium,0.09330985915492958,-0.5577894089879787
295,2022-05-14,3,800.0,Ground out of 4,super area,brahmapur,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,10000,0.0,0,medium,0.15492957746478875,-0.09081768024044207
296,2022-05-09,2,800.0,1 out of 2,carpet area,santoshpur,kolkata,Unfurnished,family,2.0,Contact Owner,10500,1.0,1,medium,0.1637323943661972,-0.09081768024044207
297,2022-06-24,3,900.0,Ground out of 3,carpet area,unknown place,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,10000,0.0,0,medium,0.15492957746478875,0.14266818413332624
299,2022-06-29,2,800.0,Ground out of 2,carpet area,sodepur,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,9000,0.0,1,medium,0.13732394366197184,-0.09081768024044207
300,2022-06-23,2,1600.0,Ground out of 3,carpet area,jadavpur university,mumbai,Unfurnished,bachelors,2.0,Contact Owner,20000,0.0,1,large,0.33098591549295775,1.7770692347497044
301,2022-05-12,3,1012.0,2 out of 3,carpet area,salt lake city sector 1,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,35000,2.0,0,medium,0.5950704225352114,0.40417235223194675
302,2022-04-29,3,1200.0,Ground out of 2,carpet area,"pathak para, behala",kolkata,Unfurnished,bachelors,2.0,Contact Owner,15000,0.0,0,large,0.24295774647887328,0.8431257772546311
303,2022-05-29,2,700.0,,super area,salt lake city sector 1,kolkata,Furnished,bachelors/family,1.0,Contact Owner,20000,-1.0,1,medium,0.33098591549295775,-0.32430354461421035
305,2022-06-30,2,800.0,Ground out of 3,carpet area,thakurpukur,kolkata,Unfurnished,bachelors,1.0,Contact Owner,8000,0.0,1,medium,0.11971830985915494,-0.09081768024044207
307,2022-05-20,2,1200.0,Ground out of 1,carpet area,"haridevpur, paschim putiary",kolkata,Semi-Furnished,bachelors,2.0,Contact Owner,20000,0.0,1,large,0.33098591549295775,0.8431257772546311
308,2022-06-18,1,450.0,Ground out of 2,carpet area,salt lake city sector 2,kolkata,Unfurnished,bachelors,3.0,Contact Agent,9000,0.0,1,small,0.13732394366197184,-0.9080182055486311
309,2022-06-25,3,950.0,Ground out of 2,carpet area,"rabindrapally, garia",kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,13000,0.0,0,medium,0.20774647887323944,0.2594111163202104
310,2022-06-30,2,350.0,Ground out of 2,carpet area,unknown place,bangalore,Unfurnished,bachelors/family,1.0,Contact Agent,7000,0.0,1,small,0.10211267605633803,-1.1415040699223995
311,2022-06-03,1,450.0,Ground out of 3,carpet area,salt lake city sector 5,kolkata,Unfurnished,bachelors/family,1.0,Contact Agent,9000,0.0,1,small,0.13732394366197184,-0.9080182055486311
312,2022-05-27,1,550.0,Ground out of 2,carpet area,"bangur avenue, lake town",kolkata,Semi-Furnished,bachelors,1.0,Contact Owner,9000,0.0,1,medium,0.13732394366197184,-0.6745323411748628
313,2022-05-19,2,300.0,Ground out of 1,carpet area,keshtopur,kolkata,Unfurnished,bachelors,2.0,Contact Owner,10000,0.0,1,small,0.15492957746478875,-1.2582470021092835
314,2022-05-09,3,1250.0,Ground out of 3,super area,"sakher bazar, purba barisha",bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,15000,0.0,0,large,0.24295774647887328,0.9598687094415153
